"","Author","patent_no","patentType","Seq","Lname","Fname","MI","authorfl","coauthor"
"675","everest,p.","0037490","wo",5,"everest","p","","everest,p","henwood,c, wilson,r, lane,j, santangelo,j, dougan,g, feldman,r, dobson,r, hughes,m, moore,j"
"676","feldman,r.","0037490","wo",6,"feldman","r","","feldman,r","henwood,c, wilson,r, lane,j, santangelo,j, dougan,g, everest,p, dobson,r, hughes,m, moore,j"
"677","dobson,r.j.","0037490","wo",7,"dobson","r","j.","dobson,r","henwood,c, wilson,r, lane,j, santangelo,j, dougan,g, everest,p, feldman,r, hughes,m, moore,j"
"678","hughes,m.j.","0037490","wo",8,"hughes","m","j.","hughes,m","henwood,c, wilson,r, lane,j, santangelo,j, dougan,g, everest,p, feldman,r, dobson,r, moore,j"
"679","moore,j.c.","0037490","wo",9,"moore","j","c.","moore,j","henwood,c, wilson,r, lane,j, santangelo,j, dougan,g, everest,p, feldman,r, dobson,r, hughes,m"
"680","bollen,a.","0037493","wo",1,"bollen","a","","bollen,a","godfroid,e, fauconnier,a"
"681","godfroid,e.","0037493","wo",2,"godfroid","e","","godfroid,e","bollen,a, fauconnier,a"
"682","fauconnier,a.","0037493","wo",3,"fauconnier","a","","fauconnier,a","bollen,a, godfroid,e"
"683","gros,j.","0037607","wo",1,"gros","j","","gros,j","strosberg,a, gerhardt,c"
"684","strosberg,a.d.","0037607","wo",2,"strosberg","a","d.","strosberg,a","gros,j, gerhardt,c"
"685","gerhardt,c.","0037607","wo",3,"gerhardt","c","","gerhardt,c","gros,j, strosberg,a"
"686","masure,s.l.","0037613","wo",1,"masure","s","l.","masure,s","richardson,a"
"687","richardson,a.","0037613","wo",2,"richardson","a","","richardson,a","masure,s"
"688","gordon,r.d.","0037641","wo",1,"gordon","r","d.","gordon,r","dijkmans,j, sprengel,j, yon,j, xu,j, gosiewska,a, dhanaraj,s"
"689","dijkmans,j.j.","0037641","wo",2,"dijkmans","j","j.","dijkmans,j","gordon,r, sprengel,j, yon,j, xu,j, gosiewska,a, dhanaraj,s"
"690","sprengel,j.j.","0037641","wo",3,"sprengel","j","j.","sprengel,j","gordon,r, dijkmans,j, yon,j, xu,j, gosiewska,a, dhanaraj,s"
