"","Author","patent_no","patentType","Seq","Lname","Fname","MI","authorfl","coauthor"
"1","morris,a.e.","#w097/25420","pct",1,"morris","a","e.","morris,a","lee,c, thomas,j"
"2","lee,c.c.","#w097/25420","pct",2,"lee","c","c.","lee,c","morris,a, thomas,j"
"3","thomas,j.n.","#w097/25420","pct",3,"thomas","j","n.","thomas,j","morris,a, lee,c"
"4","bingsheng,q.","(00100211.2)","china",1,"bingsheng","q","","bingsheng,q","gong,y, xiuhua,z, po,t"
"5","gong,y.","(00100211.2)","china",2,"gong","y","","gong,y","bingsheng,q, xiuhua,z, po,t"
"6","xiuhua,z.","(00100211.2)","china",3,"xiuhua","z","","xiuhua,z","bingsheng,q, gong,y, po,t"
"7","po,t.","(00100211.2)","china",4,"po","t","","po,t","bingsheng,q, gong,y, xiuhua,z"
"8","jones,a.e.","(0020331.5)","gb",1,"jones","a","e.","jones,a","winge,p, rossiter,j"
"9","winge,p.","(0020331.5)","gb",2,"winge","p","","winge,p","jones,a, rossiter,j"
"10","rossiter,j.t.","(0020331.5)","gb",3,"rossiter","j","t.","rossiter,j","jones,a, winge,p"
"11","zhang,z.","(01127288.0)","china",1,"zhang","z","","zhang,z","he,j, yao,b, zhou,y, chen,y, yi,y"
"12","he,j.","(01127288.0)","china",2,"he","j","","he,j","zhang,z, yao,b, zhou,y, chen,y, yi,y"
"13","yao,b.","(01127288.0)","china",3,"yao","b","","yao,b","zhang,z, he,j, zhou,y, chen,y, yi,y"
"14","zhou,y.","(01127288.0)","china",4,"zhou","y","","zhou,y","zhang,z, he,j, yao,b, chen,y, yi,y"
"15","chen,y.","(01127288.0)","china",5,"chen","y","","chen,y","zhang,z, he,j, yao,b, zhou,y, yi,y"
"16","yi,y.","(01127288.0)","china",6,"yi","y","","yi,y","zhang,z, he,j, yao,b, zhou,y, chen,y"
"17","unwin,j.","(0303767.8)","gb",1,"unwin","j","","unwin,j","standage,s, wellington,e"
"18","standage,s.","(0303767.8)","gb",2,"standage","s","","standage,s","unwin,j, wellington,e"
"19","wellington,e.","(0303767.8)","gb",3,"wellington","e","","wellington,e","unwin,j, standage,s"
"20","giraldo,c.i.","(04088188)","co",1,"giraldo","c","i.","giraldo,c","alegria,a, aguilar,e, gaviria,d, rengifo,l"
"21","alegria,a.","(04088188)","co",2,"alegria","a","","alegria,a","giraldo,c, aguilar,e, gaviria,d, rengifo,l"
"22","aguilar,e.","(04088188)","co",3,"aguilar","e","","aguilar,e","giraldo,c, alegria,a, gaviria,d, rengifo,l"
"23","gaviria,d.","(04088188)","co",4,"gaviria","d","","gaviria,d","giraldo,c, alegria,a, aguilar,e, rengifo,l"
"24","rengifo,l.","(04088188)","co",5,"rengifo","l","","rengifo,l","giraldo,c, alegria,a, aguilar,e, gaviria,d"
"25","robene-soustrade,i.","(0905053)","fr",1,"robene-soustrade","i","","robene-soustrade,i","pruvost,o, legrand,d"
"26","pruvost,o.","(0905053)","fr",2,"pruvost","o","","pruvost,o","robene-soustrade,i, legrand,d"
"27","legrand,d.","(0905053)","fr",3,"legrand","d","","legrand,d","robene-soustrade,i, pruvost,o"
"28","jahng,d.","(10","kr",1,"jahng","d","","jahng,d","park,k, cha,y, oh,s"
"29","park,k.-b.","(10","kr",1,"park","k","-b.","park,k","jahng,d, cha,y, oh,s"
"30","cha,y.","(10","kr",2,"cha","y","","cha,y","jahng,d, park,k, oh,s"
"31","oh,s.-h.","(10","kr",2,"oh","s","-h.","oh,s","jahng,d, park,k, cha,y"
"32","zaehres,h.","(10109780.8)","de",1,"zaehres","h","","zaehres,h","ruediger,m, schrader,j"
"33","ruediger,m.","(10109780.8)","de",2,"ruediger","m","","ruediger,m","zaehres,h, schrader,j"
"34","schrader,j.","(10109780.8)","de",3,"schrader","j","","schrader,j","zaehres,h, ruediger,m"
"35","calvert,j.g.","(1018557)","ep",1,"calvert","j","g.","calvert,j","welch,s, sheppard,m"
"36","welch,s.-k.w.","(1018557)","ep",2,"welch","s","-k.w.","welch,s","calvert,j, sheppard,m"
"37","sheppard,m.g.","(1018557)","ep",3,"sheppard","m","g.","sheppard,m","calvert,j, welch,s"
"38","prinzenberg,e.-m.","(102/38/433.9","de",1,"prinzenberg","e","-m.","prinzenberg,e","erhardt,g"
"39","erhardt,g.","(102/38/433.9","de",2,"erhardt","g","","erhardt,g","prinzenberg,e"
"40","henriquez,v.","(114057)","no",1,"henriquez","v","","henriquez,v","conejeros,p, marshall,s"
"41","conejeros,p.","(114057)","no",2,"conejeros","p","","conejeros,p","henriquez,v, marshall,s"
"42","marshall,s.h.","(114057)","no",3,"marshall","s","h.","marshall,s","henriquez,v, conejeros,p"
"43","majumder,a.n.l.","(1250/d/2002)","in",1,"majumder","a","n.l.","majumder,a","majee,m"
"44","majee,m.","(1250/d/2002)","in",2,"majee","m","","majee,m","majumder,a"
"45","buonavoglia,c.","(1780216)","ep",1,"buonavoglia","c","","buonavoglia,c",""
"46","vieites-fernandez,j.m.","(2","ep",1,"vieites-fernandez","j","m.","vieites-fernandez,j","munoz-quezada,s, llamas-company,i, maldonado-lozano,j, romero-braquehais,f, suarez-garcia,a, gil-hernandez,a, gomez-llorente,c, bermudez-brito,m"
"47","munoz-quezada,s.i.","(2","ep",2,"munoz-quezada","s","i.","munoz-quezada,s","vieites-fernandez,j, llamas-company,i, maldonado-lozano,j, romero-braquehais,f, suarez-garcia,a, gil-hernandez,a, gomez-llorente,c, bermudez-brito,m"
"48","llamas-company,i.","(2","ep",3,"llamas-company","i","","llamas-company,i","vieites-fernandez,j, munoz-quezada,s, maldonado-lozano,j, romero-braquehais,f, suarez-garcia,a, gil-hernandez,a, gomez-llorente,c, bermudez-brito,m"
"49","maldonado-lozano,j.","(2","ep",4,"maldonado-lozano","j","","maldonado-lozano,j","vieites-fernandez,j, munoz-quezada,s, llamas-company,i, romero-braquehais,f, suarez-garcia,a, gil-hernandez,a, gomez-llorente,c, bermudez-brito,m"
"50","romero-braquehais,f.","(2","ep",5,"romero-braquehais","f","","romero-braquehais,f","vieites-fernandez,j, munoz-quezada,s, llamas-company,i, maldonado-lozano,j, suarez-garcia,a, gil-hernandez,a, gomez-llorente,c, bermudez-brito,m"
"51","suarez-garcia,a.","(2","ep",6,"suarez-garcia","a","","suarez-garcia,a","vieites-fernandez,j, munoz-quezada,s, llamas-company,i, maldonado-lozano,j, romero-braquehais,f, gil-hernandez,a, gomez-llorente,c, bermudez-brito,m"
"52","gil-hernandez,a.","(2","ep",7,"gil-hernandez","a","","gil-hernandez,a","vieites-fernandez,j, munoz-quezada,s, llamas-company,i, maldonado-lozano,j, romero-braquehais,f, suarez-garcia,a, gomez-llorente,c, bermudez-brito,m"
"53","gomez-llorente,c.","(2","ep",8,"gomez-llorente","c","","gomez-llorente,c","vieites-fernandez,j, munoz-quezada,s, llamas-company,i, maldonado-lozano,j, romero-braquehais,f, suarez-garcia,a, gil-hernandez,a, bermudez-brito,m"
"54","bermudez-brito,m.","(2","ep",9,"bermudez-brito","m","","bermudez-brito,m","vieites-fernandez,j, munoz-quezada,s, llamas-company,i, maldonado-lozano,j, romero-braquehais,f, suarez-garcia,a, gil-hernandez,a, gomez-llorente,c"
"55","henriquez,v.","(2.381.708)","ca",1,"henriquez","v","","henriquez,v","conejeros,p, marshall,s"
"56","conejeros,p.","(2.381.708)","ca",2,"conejeros","p","","conejeros,p","henriquez,v, marshall,s"
"57","marshall,s.h.","(2.381.708)","ca",3,"marshall","s","h.","marshall,s","henriquez,v, conejeros,p"
"58","calvert,j.g.","(2000189178/a/1)","jp",1,"calvert","j","g.","calvert,j","welch,s, sheppard,m"
"59","welch,s.-k.w.","(2000189178/a/1)","jp",2,"welch","s","-k.w.","welch,s","calvert,j, sheppard,m"
"60","sheppard,m.g.","(2000189178/a/1)","jp",3,"sheppard","m","g.","sheppard,m","calvert,j, welch,s"
"61","zinin,n.v.","(2003127890)","ru",1,"zinin","n","v.","zinin,n","syneoky,s, debabov,v"
"62","syneoky,s.p.","(2003127890)","ru",2,"syneoky","s","p.","syneoky,s","zinin,n, debabov,v"
"63","debabov,v.g.","(2003127890)","ru",3,"debabov","v","g.","debabov,v","zinin,n, syneoky,s"
"64","jing,r.","(200410088515/8)","ch",1,"jing","r","","jing,r","zang,q, guo,z, chang,x"
"65","zang,q.","(200410088515/8)","ch",2,"zang","q","","zang,q","jing,r, guo,z, chang,x"
"66","guo,z.","(200410088515/8)","ch",3,"guo","z","","guo,z","jing,r, zang,q, chang,x"
"67","chang,x.","(200410088515/8)","ch",4,"chang","x","","chang,x","jing,r, zang,q, guo,z"
"68","luo,s.","(200410103561.0)","cn",1,"luo","s","","luo,s","zhangsun,d, zhang,b, lin,q"
"69","zhangsun,d.","(200410103561.0)","cn",2,"zhangsun","d","","zhangsun,d","luo,s, zhang,b, lin,q"
"70","zhang,b.","(200410103561.0)","cn",3,"zhang","b","","zhang,b","luo,s, zhangsun,d, lin,q"
"71","lin,q.","(200410103561.0)","cn",4,"lin","q","","lin,q","luo,s, zhangsun,d, zhang,b"
"72","luo,s.","(200410103562.5)","cn",1,"luo","s","","luo,s","zhangsun,d, zhang,b, chen,x"
"73","zhangsun,d.","(200410103562.5)","cn",2,"zhangsun","d","","zhangsun,d","luo,s, zhang,b, chen,x"
"74","zhang,b.","(200410103562.5)","cn",3,"zhang","b","","zhang,b","luo,s, zhangsun,d, chen,x"
"75","chen,x.","(200410103562.5)","cn",4,"chen","x","","chen,x","luo,s, zhangsun,d, zhang,b"
"76","luo,s.","(200410103563.x)","cn",1,"luo","s","","luo,s","zhangsun,d, zhang,b, quan,y"
"77","zhangsun,d.","(200410103563.x)","cn",2,"zhangsun","d","","zhangsun,d","luo,s, zhang,b, quan,y"
"78","zhang,b.","(200410103563.x)","cn",3,"zhang","b","","zhang,b","luo,s, zhangsun,d, quan,y"
"79","quan,y.","(200410103563.x)","cn",4,"quan","y","","quan,y","luo,s, zhangsun,d, zhang,b"
"80","wang,j.w.","(200510112914.8)","cn",1,"wang","j","w.","wang,j","guo,l, zhou,h, huang,t"
"81","guo,l.","(200510112914.8)","cn",2,"guo","l","","guo,l","wang,j, zhou,h, huang,t"
"82","zhou,h.l.","(200510112914.8)","cn",3,"zhou","h","l.","zhou,h","wang,j, guo,l, huang,t"
"83","huang,t.","(200510112914.8)","cn",4,"huang","t","","huang,t","wang,j, guo,l, zhou,h"
"84","sun,z.","(200810146688.9)","cn",1,"sun","z","","sun,z","ni,y, zheng,p, dong,j"
"85","ni,y.","(200810146688.9)","cn",2,"ni","y","","ni,y","sun,z, zheng,p, dong,j"
"86","zheng,p.","(200810146688.9)","cn",3,"zheng","p","","zheng,p","sun,z, ni,y, dong,j"
"87","dong,j.","(200810146688.9)","cn",4,"dong","j","","dong,j","sun,z, ni,y, zheng,p"
"88","henriquez,v.","(2086","cl",1,"henriquez","v","","henriquez,v","conejeros,p, marshall,s"
"89","conejeros,p.","(2086","cl",2,"conejeros","p","","conejeros,p","henriquez,v, marshall,s"
"90","marshall,s.h.","(2086","cl",3,"marshall","s","h.","marshall,s","henriquez,v, conejeros,p"
"91","glinschikova,o.a.","(2186388)","ru",1,"glinschikova","o","a.","glinschikova,o","sudarikov,a"
"92","sudarikov,a.b.","(2186388)","ru",2,"sudarikov","a","b.","sudarikov,a","glinschikova,o"
"93","farnet,c.m.","(2453675)","ca",1,"farnet","c","m.","farnet,c","staffa,a, zazopoulos,e, yang,x"
"94","staffa,a.","(2453675)","ca",2,"staffa","a","","staffa,a","farnet,c, zazopoulos,e, yang,x"
"95","zazopoulos,e.","(2453675)","ca",3,"zazopoulos","e","","zazopoulos,e","farnet,c, staffa,a, yang,x"
"96","yang,x.","(2453675)","ca",4,"yang","x","","yang,x","farnet,c, staffa,a, zazopoulos,e"
"97","prasad,n.b.c.","(3379/del/2005)","in",1,"prasad","n","b.c.","prasad,n","kumar,v, parimalan,r, giridhar,p, ravishankar,g"
"98","kumar,v.","(3379/del/2005)","in",2,"kumar","v","","kumar,v","prasad,n, parimalan,r, giridhar,p, ravishankar,g"
"99","parimalan,r.","(3379/del/2005)","in",3,"parimalan","r","","parimalan,r","prasad,n, kumar,v, giridhar,p, ravishankar,g"
"100","giridhar,p.","(3379/del/2005)","in",4,"giridhar","p","","giridhar,p","prasad,n, kumar,v, parimalan,r, ravishankar,g"
"101","ravishankar,g.a.","(3379/del/2005)","in",5,"ravishankar","g","a.","ravishankar,g","prasad,n, kumar,v, parimalan,r, giridhar,p"
"102","pascon,r.c.","(60/651,828)","wo",1,"pascon","r","c.","pascon,r","silva,a"
"103","silva,a.c.r.","(60/651,828)","wo",2,"silva","a","c.r.","silva,a","pascon,r"
"104","ross,b.c.","(98/01023)","pct",1,"ross","b","c.","ross,b","barr,i, patterson,m, agius,c, rothel,l, margetts,m, hocking,d, webb,e"
"105","barr,i.","(98/01023)","pct",2,"barr","i","","barr,i","ross,b, patterson,m, agius,c, rothel,l, margetts,m, hocking,d, webb,e"
"106","patterson,m.","(98/01023)","pct",3,"patterson","m","","patterson,m","ross,b, barr,i, agius,c, rothel,l, margetts,m, hocking,d, webb,e"
"107","agius,c.","(98/01023)","pct",4,"agius","c","","agius,c","ross,b, barr,i, patterson,m, rothel,l, margetts,m, hocking,d, webb,e"
"108","rothel,l.","(98/01023)","pct",5,"rothel","l","","rothel,l","ross,b, barr,i, patterson,m, agius,c, margetts,m, hocking,d, webb,e"
"109","margetts,m.","(98/01023)","pct",6,"margetts","m","","margetts,m","ross,b, barr,i, patterson,m, agius,c, rothel,l, hocking,d, webb,e"
"110","hocking,d.","(98/01023)","pct",7,"hocking","d","","hocking,d","ross,b, barr,i, patterson,m, agius,c, rothel,l, margetts,m, webb,e"
"111","webb,e.","(98/01023)","pct",8,"webb","e","","webb,e","ross,b, barr,i, patterson,m, agius,c, rothel,l, margetts,m, hocking,d"
"112","ebner,k.","(a2119)","at",1,"ebner","k","","ebner,k","lion,t"
"113","lion,t.","(a2119)","at",2,"lion","t","","lion,t","ebner,k"
"114","ross,b.","(au","australia",1,"ross","b","","ross,b","ross,b, barr,i, barr,i, patterson,m, patterson,m, agius,c, agius,c, rothel,l, rothel,l, margetts,m, margetts,m, hocking,d, hocking,d, webb,e, webb,e"
"115","ross,b.c.","(au","australia",1,"ross","b","c.","ross,b","ross,b, barr,i, barr,i, patterson,m, patterson,m, agius,c, agius,c, rothel,l, rothel,l, margetts,m, margetts,m, hocking,d, hocking,d, webb,e, webb,e"
"116","barr,i.","(au","australia",2,"barr","i","","barr,i","ross,b, ross,b, patterson,m, patterson,m, agius,c, agius,c, rothel,l, rothel,l, margetts,m, margetts,m, hocking,d, hocking,d, webb,e, webb,e"
"117","barr,i.","(au","australia",2,"barr","i","","barr,i","ross,b, ross,b, patterson,m, patterson,m, agius,c, agius,c, rothel,l, rothel,l, margetts,m, margetts,m, hocking,d, hocking,d, webb,e, webb,e"
"118","patterson,m.","(au","australia",3,"patterson","m","","patterson,m","ross,b, ross,b, barr,i, barr,i, agius,c, agius,c, rothel,l, rothel,l, margetts,m, margetts,m, hocking,d, hocking,d, webb,e, webb,e"
"119","patterson,m.","(au","australia",3,"patterson","m","","patterson,m","ross,b, ross,b, barr,i, barr,i, agius,c, agius,c, rothel,l, rothel,l, margetts,m, margetts,m, hocking,d, hocking,d, webb,e, webb,e"
"120","agius,c.","(au","australia",4,"agius","c","","agius,c","ross,b, ross,b, barr,i, barr,i, patterson,m, patterson,m, rothel,l, rothel,l, margetts,m, margetts,m, hocking,d, hocking,d, webb,e, webb,e"
"121","agius,c.","(au","australia",4,"agius","c","","agius,c","ross,b, ross,b, barr,i, barr,i, patterson,m, patterson,m, rothel,l, rothel,l, margetts,m, margetts,m, hocking,d, hocking,d, webb,e, webb,e"
"122","rothel,l.","(au","australia",5,"rothel","l","","rothel,l","ross,b, ross,b, barr,i, barr,i, patterson,m, patterson,m, agius,c, agius,c, margetts,m, margetts,m, hocking,d, hocking,d, webb,e, webb,e"
"123","rothel,l.","(au","australia",5,"rothel","l","","rothel,l","ross,b, ross,b, barr,i, barr,i, patterson,m, patterson,m, agius,c, agius,c, margetts,m, margetts,m, hocking,d, hocking,d, webb,e, webb,e"
"124","margetts,m.","(au","australia",6,"margetts","m","","margetts,m","ross,b, ross,b, barr,i, barr,i, patterson,m, patterson,m, agius,c, agius,c, rothel,l, rothel,l, hocking,d, hocking,d, webb,e, webb,e"
"125","margetts,m.","(au","australia",6,"margetts","m","","margetts,m","ross,b, ross,b, barr,i, barr,i, patterson,m, patterson,m, agius,c, agius,c, rothel,l, rothel,l, hocking,d, hocking,d, webb,e, webb,e"
"126","hocking,d.","(au","australia",7,"hocking","d","","hocking,d","ross,b, ross,b, barr,i, barr,i, patterson,m, patterson,m, agius,c, agius,c, rothel,l, rothel,l, margetts,m, margetts,m, webb,e, webb,e"
"127","hocking,d.","(au","australia",7,"hocking","d","","hocking,d","ross,b, ross,b, barr,i, barr,i, patterson,m, patterson,m, agius,c, agius,c, rothel,l, rothel,l, margetts,m, margetts,m, webb,e, webb,e"
"128","webb,e.","(au","australia",8,"webb","e","","webb,e","ross,b, ross,b, barr,i, barr,i, patterson,m, patterson,m, agius,c, agius,c, rothel,l, rothel,l, margetts,m, margetts,m, hocking,d, hocking,d"
"129","webb,e.","(au","australia",8,"webb","e","","webb,e","ross,b, ross,b, barr,i, barr,i, patterson,m, patterson,m, agius,c, agius,c, rothel,l, rothel,l, margetts,m, margetts,m, hocking,d, hocking,d"
"130","alcaino,j.","(cl1699","cl",1,"alcaino","j","","alcaino,j","cifuentes,v"
"131","cifuentes,v.","(cl1699","cl",2,"cifuentes","v","","cifuentes,v","alcaino,j"
"132","borras,o.","(cu2008","cuba",1,"borras","o","","borras,o","portieles,r, ayra,c, gonzalez,e, enriquez,g, pujol,m, borroto,c"
"133","portieles,r.","(cu2008","cuba",2,"portieles","r","","portieles,r","borras,o, ayra,c, gonzalez,e, enriquez,g, pujol,m, borroto,c"
"134","ayra,c.","(cu2008","cuba",3,"ayra","c","","ayra,c","borras,o, portieles,r, gonzalez,e, enriquez,g, pujol,m, borroto,c"
"135","gonzalez,e.","(cu2008","cuba",4,"gonzalez","e","","gonzalez,e","borras,o, portieles,r, ayra,c, enriquez,g, pujol,m, borroto,c"
"136","enriquez,g.","(cu2008","cuba",5,"enriquez","g","","enriquez,g","borras,o, portieles,r, ayra,c, gonzalez,e, pujol,m, borroto,c"
"137","pujol,m.","(cu2008","cuba",6,"pujol","m","","pujol,m","borras,o, portieles,r, ayra,c, gonzalez,e, enriquez,g, borroto,c"
"138","borroto,c.","(cu2008","cuba",7,"borroto","c","","borroto,c","borras,o, portieles,r, ayra,c, gonzalez,e, enriquez,g, pujol,m"
"139","ballvora,a.","(ep01120670.3)","de",1,"ballvora","a","","ballvora,a","ercolano,m, weiss,j, meksem,k, bormann,c, oberhagemann,p, salamini,f, gebhardt,c"
"140","ercolano,m.r.","(ep01120670.3)","de",2,"ercolano","m","r.","ercolano,m","ballvora,a, weiss,j, meksem,k, bormann,c, oberhagemann,p, salamini,f, gebhardt,c"
"141","weiss,j.","(ep01120670.3)","de",3,"weiss","j","","weiss,j","ballvora,a, ercolano,m, meksem,k, bormann,c, oberhagemann,p, salamini,f, gebhardt,c"
"142","meksem,k.","(ep01120670.3)","de",4,"meksem","k","","meksem,k","ballvora,a, ercolano,m, weiss,j, bormann,c, oberhagemann,p, salamini,f, gebhardt,c"
"143","bormann,c.","(ep01120670.3)","de",5,"bormann","c","","bormann,c","ballvora,a, ercolano,m, weiss,j, meksem,k, oberhagemann,p, salamini,f, gebhardt,c"
"144","oberhagemann,p.","(ep01120670.3)","de",6,"oberhagemann","p","","oberhagemann,p","ballvora,a, ercolano,m, weiss,j, meksem,k, bormann,c, salamini,f, gebhardt,c"
"145","salamini,f.","(ep01120670.3)","de",7,"salamini","f","","salamini,f","ballvora,a, ercolano,m, weiss,j, meksem,k, bormann,c, oberhagemann,p, gebhardt,c"
"146","gebhardt,c.","(ep01120670.3)","de",8,"gebhardt","c","","gebhardt,c","ballvora,a, ercolano,m, weiss,j, meksem,k, bormann,c, oberhagemann,p, salamini,f"
"147","worheide,g.","(ep07008083)","europe",1,"worheide","g","","worheide,g","jackson,d, macis,l, reitner,j"
"148","jackson,d.","(ep07008083)","europe",2,"jackson","d","","jackson,d","worheide,g, macis,l, reitner,j"
"149","macis,l.","(ep07008083)","europe",3,"macis","l","","macis,l","worheide,g, jackson,d, reitner,j"
"150","reitner,j.","(ep07008083)","europe",4,"reitner","j","","reitner,j","worheide,g, jackson,d, macis,l"
"151","majumder,a.n.l.","(in03/00065)","pct",1,"majumder","a","n.l.","majumder,a","majee,m"
"152","majee,m.","(in03/00065)","pct",2,"majee","m","","majee,m","majumder,a"
"153","mikolajczyk,k.","(p","pl",1,"mikolajczyk","k","","mikolajczyk,k","dabert,m, karlowski,w, spasibionek,s, bartkowiak-broda,i"
"154","dabert,m.","(p","pl",2,"dabert","m","","dabert,m","mikolajczyk,k, karlowski,w, spasibionek,s, bartkowiak-broda,i"
"155","karlowski,w.m.","(p","pl",3,"karlowski","w","m.","karlowski,w","mikolajczyk,k, dabert,m, spasibionek,s, bartkowiak-broda,i"
"156","spasibionek,s.","(p","pl",4,"spasibionek","s","","spasibionek,s","mikolajczyk,k, dabert,m, karlowski,w, bartkowiak-broda,i"
"157","bartkowiak-broda,i.","(p","pl",5,"bartkowiak-broda","i","","bartkowiak-broda,i","mikolajczyk,k, dabert,m, karlowski,w, spasibionek,s"
"158","maccheroni,w.","(pct/br04/000179)","wo",1,"maccheroni","w","","maccheroni,w","silva,a"
"159","silva,a.c.r.","(pct/br04/000179)","wo",2,"silva","a","c.r.","silva,a","maccheroni,w"
"160","kishimoto,t.","(pct/jp98/03739)","japan",1,"kishimoto","t","","kishimoto,t","niwa,s, nagamine,y, nishiyama,y, saya,h"
"161","niwa,s.-i.","(pct/jp98/03739)","japan",2,"niwa","s","-i.","niwa,s","kishimoto,t, nagamine,y, nishiyama,y, saya,h"
"162","nagamine,y.","(pct/jp98/03739)","japan",3,"nagamine","y","","nagamine,y","kishimoto,t, niwa,s, nishiyama,y, saya,h"
"163","nishiyama,y.","(pct/jp98/03739)","japan",4,"nishiyama","y","","nishiyama,y","kishimoto,t, niwa,s, nagamine,y, saya,h"
"164","saya,h.","(pct/jp98/03739)","japan",5,"saya","h","","saya,h","kishimoto,t, niwa,s, nagamine,y, nishiyama,y"
"165","helder,j.","(pct/nl2004/000247)","pct",1,"helder","j","","helder,j","van den elsen,s, bongers,a, wurff,a, bakker,j"
"166","van den elsen,s.j.j.","(pct/nl2004/000247)","pct",2,"van den elsen","s","j.j.","van den elsen,s","helder,j, bongers,a, wurff,a, bakker,j"
"167","bongers,a.m.t.","(pct/nl2004/000247)","pct",3,"bongers","a","m.t.","bongers,a","helder,j, van den elsen,s, wurff,a, bakker,j"
"168","wurff,a.w.g.","(pct/nl2004/000247)","pct",4,"wurff","a","w.g.","wurff,a","helder,j, van den elsen,s, bongers,a, bakker,j"
"169","bakker,j.","(pct/nl2004/000247)","pct",5,"bakker","j","","bakker,j","helder,j, van den elsen,s, bongers,a, wurff,a"
"170","jefferson,r.a.","(pct/us98/19217)","pct",1,"jefferson","r","a.","jefferson,r","kilian,a, keese,p"
"171","kilian,a.","(pct/us98/19217)","pct",2,"kilian","a","","kilian,a","jefferson,r, keese,p"
"172","keese,p.k.","(pct/us98/19217)","pct",3,"keese","p","k.","keese,p","jefferson,r, kilian,a"
"173","rahmah,n.","(pi","malaysia",1,"rahmah","n","","rahmah,n","khairul anuar,a"
"174","khairul anuar,a.","(pi","malaysia",2,"khairul anuar","a","","khairul anuar,a","rahmah,n"
"175","gandolfi,i.","(rm2008a000183)","it",1,"gandolfi","i","","gandolfi,i","franzetti,a, bestetti,g"
"176","franzetti,a.","(rm2008a000183)","it",2,"franzetti","a","","franzetti,a","gandolfi,i, bestetti,g"
"177","bestetti,g.","(rm2008a000183)","it",3,"bestetti","g","","bestetti,g","gandolfi,i, franzetti,a"
"178","zinin,n.v.","(ru2003127890)","ru",1,"zinin","n","v.","zinin,n","syneokii,s"
"179","syneokii,s.p.","(ru2003127890)","ru",2,"syneokii","s","p.","syneokii,s","zinin,n"
"180","hart,h.","(wo/08121633a1)","pct",1,"hart","h","","hart,h","chen,j, stacy,c, walters,f"
"181","chen,j.s.","(wo/08121633a1)","pct",2,"chen","j","s.","chen,j","hart,h, stacy,c, walters,f"
"182","stacy,c.m.","(wo/08121633a1)","pct",3,"stacy","c","m.","stacy,c","hart,h, chen,j, walters,f"
"183","walters,f.s.","(wo/08121633a1)","pct",4,"walters","f","s.","walters,f","hart,h, chen,j, stacy,c"
"184","dasilva,l.l.p.","(wo/2004/100861)","pct",1,"dasilva","l","l.p.","dasilva,l","castelo,a, goldman,m, barreira,m, oliveira,r, baruffi,m, machado,j"
"185","castelo,a.p.","(wo/2004/100861)","pct",2,"castelo","a","p.","castelo,a","dasilva,l, goldman,m, barreira,m, oliveira,r, baruffi,m, machado,j"
"186","goldman,m.h.s.","(wo/2004/100861)","pct",3,"goldman","m","h.s.","goldman,m","dasilva,l, castelo,a, barreira,m, oliveira,r, baruffi,m, machado,j"
"187","barreira,m.c.r.a.","(wo/2004/100861)","pct",4,"barreira","m","c.r.a.","barreira,m","dasilva,l, castelo,a, goldman,m, oliveira,r, baruffi,m, machado,j"
"188","oliveira,r.s.","(wo/2004/100861)","pct",5,"oliveira","r","s.","oliveira,r","dasilva,l, castelo,a, goldman,m, barreira,m, baruffi,m, machado,j"
"189","baruffi,m.d.","(wo/2004/100861)","pct",6,"baruffi","m","d.","baruffi,m","dasilva,l, castelo,a, goldman,m, barreira,m, oliveira,r, machado,j"
"190","machado,j.b.m.","(wo/2004/100861)","pct",7,"machado","j","b.m.","machado,j","dasilva,l, castelo,a, goldman,m, barreira,m, oliveira,r, baruffi,m"
"191","lira,j.","(wo/2010/120452)","pct",1,"lira","j","","lira,j","butler,h, smith,d, narva,k, meade,t"
"192","butler,h.","(wo/2010/120452)","pct",2,"butler","h","","butler,h","lira,j, smith,d, narva,k, meade,t"
"193","smith,d.","(wo/2010/120452)","pct",3,"smith","d","","smith,d","lira,j, butler,h, narva,k, meade,t"
"194","narva,k.","(wo/2010/120452)","pct",4,"narva","k","","narva,k","lira,j, butler,h, smith,d, meade,t"
"195","meade,t.","(wo/2010/120452)","pct",5,"meade","t","","meade,t","lira,j, butler,h, smith,d, narva,k"
"196","merzouki,a.","(wo/2011/140638)","pct",1,"merzouki","a","","merzouki,a","buschmann,m"
"197","buschmann,m.d.","(wo/2011/140638)","pct",2,"buschmann","m","d.","buschmann,m","merzouki,a"
"198","shone,c.c.","(wo/98/07864)","pct",1,"shone","c","c.","shone,c","quinn,c, foster,k"
"199","quinn,c.p.","(wo/98/07864)","pct",2,"quinn","c","p.","quinn,c","shone,c, foster,k"
"200","foster,k.a.","(wo/98/07864)","pct",3,"foster","k","a.","foster,k","shone,c, quinn,c"
"201","admon,a.","(wo/99/38970)","il",1,"admon","a","","admon,a","paltieli,y, slotky,r, mandel,s"
"202","paltieli,y.","(wo/99/38970)","il",2,"paltieli","y","","paltieli,y","admon,a, slotky,r, mandel,s"
"203","slotky,r.","(wo/99/38970)","il",3,"slotky","r","","slotky,r","admon,a, paltieli,y, mandel,s"
"204","mandel,s.","(wo/99/38970)","il",4,"mandel","s","","mandel,s","admon,a, paltieli,y, slotky,r"
"205","scott,r.w.","(wo2006au01528)","au",1,"scott","r","w.","scott,r","arcus,v, roberts,n"
"206","arcus,v.l.","(wo2006au01528)","au",2,"arcus","v","l.","arcus,v","scott,r, roberts,n"
"207","roberts,n.j.","(wo2006au01528)","au",3,"roberts","n","j.","roberts,n","scott,r, arcus,v"
